username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
indahfnur,6,14,12,1,0,294,237,11631,35308,4,2010,0
Innayaputri72,6,20,32,1,0,2323,1382,18702,17525,10,2018,0
inxstsabitto,7,15,6,1,0,257,301,2673,5257,11,2010,0
ipamungkas,1,3,99,1,0,137,114,21,6942,9,2009,0
ipiN_Toelen,1,13,63,1,0,782,705,5677,5888,10,2018,0
ipung2667,5,3,35,0,0,158,319,10820,6636,2,2017,0
ishaksp123,7,12,4,1,0,45,135,708,477,2,2019,0
ismuziezna,3,23,4,0,0,271,1022,1981,14946,6,2013,0
Isnaforever,6,13,3,1,0,7445,775,630,254562,3,2010,0
Itha9677,6,22,12,1,0,326,347,4102,2160,5,2018,0
JackSpa16103535,4,11,153,1,0,155,418,7919,4156,8,2018,0
Jans33581974,6,14,54,1,0,56,170,1006,822,4,2019,0
Je_Latah,7,16,6,1,0,1061,724,20720,18613,6,2012,0
Jeki_Ayu,6,19,10,1,0,1247,271,12566,21446,2,2012,0
jennyfebe,7,7,6,1,0,399,256,43577,52919,8,2010,0
JesseFrederick,1,5,2,1,0,1912,472,8,13030,5,2011,0
jinarsaskara,5,4,11,1,0,1581,1153,3928,41460,12,2009,0
Joe41563488,7,10,21,0,0,90,339,6708,2656,4,2019,0
joezenzie,4,4,14,1,0,368,600,2697,2466,1,2019,0
Jokard12,4,7,190,0,0,7,292,28,368,2,2019,0
Jumiasri,6,14,8,0,0,470,656,5490,7174,6,2012,0
jumriadiat,5,8,12,0,0,132,598,3141,5003,2,2017,0
kangirul803,7,3,11,1,0,55,195,15485,544,7,2017,0
KangNJ2,6,6,15,0,0,35,194,435,1416,2,2019,0
Kanjutlaer3,4,1,5,0,0,26,591,190,3777,3,2019,0
kartadjaya,4,9,15,0,0,171,331,3803,9853,3,2019,0
katerinaKwari,7,11,20,1,0,2691,669,1115,68128,5,2018,0
KH4P03R,2,14,3,1,0,1364,3960,3815,29722,2,2011,0
KiMayit,3,5,9,1,0,166,619,2329,8010,10,2014,0
kitsiangfreddy,6,2,27,0,0,585,575,129009,94245,1,2014,0
kondang_sablenk,5,11,8,0,0,61,515,2242,1818,1,2019,0
KS76049262,3,9,4,1,0,12,51,1222,1785,12,2016,0
KTjahyana,7,4,40,1,0,374,1130,13111,7499,9,2017,0
kucin_q,6,14,22,0,0,475,522,22960,8628,3,2019,0
kudhanil17,3,1,7,1,0,427,919,6297,5705,9,2018,0
Lesti67564174,3,16,93,1,0,156,111,4109,3969,3,2019,0
lidyafebriant19,6,8,214,1,0,18,11,78,272,4,2019,0
LilikSatrio,4,0,4,1,0,480,397,311,38304,8,2009,0
lilysparkling,1,13,14,1,0,10,111,12,531,10,2016,0
LiyantoDwi,7,0,4,1,0,9,39,410,612,1,2019,0
LJokower,2,23,13,1,0,113,211,2043,3241,3,2019,0
LubnaLuluk,1,15,15,1,0,36,125,3018,710,5,2015,0
LukmanNu12,6,11,7,1,0,652,4896,29209,26900,1,2014,0
LutfiAnanto,7,8,9,1,0,72,97,10710,10360,10,2018,0
Mahdi_Izzulhaq,4,11,8,1,0,1337,772,1597,4392,3,2011,0
mamunrazaq,4,15,135,1,0,238,313,16692,71536,5,2010,0
